search_id,candidate_count,clicks,carts,purchases,click_density_pct,cart_density_pct,purchase_density_pct,exploration_bucket
116110,30,0.0,1.0,0.0,0.0,3.333,0.0,no_click
135393,165,3.0,0.0,0.0,1.818,0.0,0.0,2_to_3_clicks
18374,184,1.0,1.0,0.0,0.543,0.543,0.0,single_click
164914,90,1.0,0.0,0.0,1.111,0.0,0.0,single_click
20186,197,2.0,0.0,0.0,1.015,0.0,0.0,2_to_3_clicks
60098,149,2.0,0.0,0.0,1.342,0.0,0.0,2_to_3_clicks
56693,89,1.0,0.0,0.0,1.124,0.0,0.0,single_click
14595,89,2.0,0.0,0.0,2.247,0.0,0.0,2_to_3_clicks
24642,87,1.0,0.0,0.0,1.149,0.0,0.0,single_click
58556,90,0.0,1.0,0.0,0.0,1.111,0.0,no_click
139185,86,0.0,1.0,0.0,0.0,1.163,0.0,no_click
106288,200,7.0,3.0,0.0,3.5,1.5,0.0,7_plus_clicks
165212,95,1.0,0.0,0.0,1.053,0.0,0.0,single_click
135880,96,2.0,0.0,0.0,2.083,0.0,0.0,2_to_3_clicks
142308,90,0.0,1.0,0.0,0.0,1.111,0.0,no_click
140723,94,2.0,0.0,0.0,2.128,0.0,0.0,2_to_3_clicks
24744,129,2.0,3.0,0.0,1.55,2.326,0.0,2_to_3_clicks
57428,89,1.0,0.0,0.0,1.124,0.0,0.0,single_click
110773,200,1.0,2.0,0.0,0.5,1.0,0.0,single_click
55397,91,1.0,0.0,0.0,1.099,0.0,0.0,single_click
100554,90,0.0,1.0,0.0,0.0,1.111,0.0,no_click
76150,92,1.0,1.0,0.0,1.087,1.087,0.0,single_click
116173,89,1.0,0.0,0.0,1.124,0.0,0.0,single_click
34370,91,2.0,2.0,0.0,2.198,2.198,0.0,2_to_3_clicks
136049,154,5.0,2.0,0.0,3.247,1.299,0.0,4_to_6_clicks
25790,88,1.0,0.0,0.0,1.136,0.0,0.0,single_click
109381,147,1.0,2.0,0.0,0.68,1.361,0.0,single_click
146691,200,3.0,0.0,0.0,1.5,0.0,0.0,2_to_3_clicks
106164,36,1.0,0.0,0.0,2.778,0.0,0.0,single_click
55107,89,1.0,0.0,0.0,1.124,0.0,0.0,single_click
106621,173,3.0,1.0,0.0,1.734,0.578,0.0,2_to_3_clicks
116381,107,8.0,2.0,0.0,7.477,1.869,0.0,7_plus_clicks
73561,90,0.0,1.0,0.0,0.0,1.111,0.0,no_click
143877,91,1.0,0.0,1.0,1.099,0.0,1.099,single_click
80460,90,0.0,1.0,0.0,0.0,1.111,0.0,no_click
135614,47,1.0,0.0,0.0,2.128,0.0,0.0,single_click
136293,107,2.0,0.0,0.0,1.869,0.0,0.0,2_to_3_clicks
129986,200,5.0,4.0,0.0,2.5,2.0,0.0,4_to_6_clicks
150403,89,1.0,0.0,0.0,1.124,0.0,0.0,single_click
85335,92,2.0,1.0,0.0,2.174,1.087,0.0,2_to_3_clicks
6175,56,0.0,0.0,0.0,0.0,0.0,0.0,no_click
128090,90,1.0,0.0,0.0,1.111,0.0,0.0,single_click
25129,109,4.0,0.0,0.0,3.67,0.0,0.0,4_to_6_clicks
127645,101,0.0,0.0,1.0,0.0,0.0,0.99,no_click
52936,178,11.0,3.0,0.0,6.18,1.685,0.0,7_plus_clicks
167452,34,0.0,1.0,0.0,0.0,2.941,0.0,no_click
115050,200,6.0,1.0,0.0,3.0,0.5,0.0,4_to_6_clicks
86162,90,0.0,1.0,0.0,0.0,1.111,0.0,no_click
65703,109,1.0,0.0,0.0,0.917,0.0,0.0,single_click
98450,86,0.0,1.0,0.0,0.0,1.163,0.0,no_click
114405,200,1.0,1.0,0.0,0.5,0.5,0.0,single_click
28429,92,1.0,0.0,0.0,1.087,0.0,0.0,single_click
154556,158,2.0,0.0,0.0,1.266,0.0,0.0,2_to_3_clicks
44169,157,1.0,1.0,0.0,0.637,0.637,0.0,single_click
81013,135,2.0,0.0,0.0,1.481,0.0,0.0,2_to_3_clicks
47407,79,1.0,0.0,0.0,1.266,0.0,0.0,single_click
46539,84,0.0,1.0,0.0,0.0,1.19,0.0,no_click
114770,168,2.0,0.0,0.0,1.19,0.0,0.0,2_to_3_clicks
144969,91,0.0,0.0,1.0,0.0,0.0,1.099,no_click
55654,166,3.0,2.0,0.0,1.807,1.205,0.0,2_to_3_clicks
91456,88,1.0,0.0,0.0,1.136,0.0,0.0,single_click
30577,172,2.0,0.0,0.0,1.163,0.0,0.0,2_to_3_clicks
57353,88,1.0,0.0,0.0,1.136,0.0,0.0,single_click
121527,102,2.0,0.0,0.0,1.961,0.0,0.0,2_to_3_clicks
158322,96,2.0,1.0,0.0,2.083,1.042,0.0,2_to_3_clicks
65305,141,6.0,1.0,0.0,4.255,0.709,0.0,4_to_6_clicks
162487,124,1.0,0.0,1.0,0.806,0.0,0.806,single_click
36204,119,1.0,0.0,0.0,0.84,0.0,0.0,single_click
138246,91,3.0,0.0,0.0,3.297,0.0,0.0,2_to_3_clicks
36464,151,1.0,0.0,0.0,0.662,0.0,0.0,single_click
13429,85,3.0,0.0,0.0,3.529,0.0,0.0,2_to_3_clicks
165153,109,1.0,0.0,0.0,0.917,0.0,0.0,single_click
55466,150,4.0,0.0,0.0,2.667,0.0,0.0,4_to_6_clicks
26823,165,2.0,0.0,0.0,1.212,0.0,0.0,2_to_3_clicks
83417,200,4.0,0.0,0.0,2.0,0.0,0.0,4_to_6_clicks
87445,200,1.0,1.0,0.0,0.5,0.5,0.0,single_click
33830,90,1.0,0.0,0.0,1.111,0.0,0.0,single_click
14539,91,1.0,1.0,0.0,1.099,1.099,0.0,single_click
21123,88,1.0,0.0,0.0,1.136,0.0,0.0,single_click
37320,89,0.0,1.0,0.0,0.0,1.124,0.0,no_click
21840,92,1.0,0.0,0.0,1.087,0.0,0.0,single_click
53294,91,1.0,1.0,0.0,1.099,1.099,0.0,single_click
49312,92,0.0,0.0,0.0,0.0,0.0,0.0,no_click
43288,95,1.0,0.0,0.0,1.053,0.0,0.0,single_click
17203,154,2.0,0.0,0.0,1.299,0.0,0.0,2_to_3_clicks
43344,200,3.0,2.0,0.0,1.5,1.0,0.0,2_to_3_clicks
51279,97,6.0,1.0,0.0,6.186,1.031,0.0,4_to_6_clicks
95854,164,1.0,1.0,0.0,0.61,0.61,0.0,single_click
76726,91,3.0,0.0,0.0,3.297,0.0,0.0,2_to_3_clicks
140574,91,0.0,1.0,0.0,0.0,1.099,0.0,no_click
32522,91,0.0,1.0,0.0,0.0,1.099,0.0,no_click
10309,91,2.0,0.0,0.0,2.198,0.0,0.0,2_to_3_clicks
72326,100,2.0,1.0,0.0,2.0,1.0,0.0,2_to_3_clicks
48417,54,1.0,0.0,0.0,1.852,0.0,0.0,single_click
148049,158,1.0,0.0,0.0,0.633,0.0,0.0,single_click
151673,90,0.0,1.0,0.0,0.0,1.111,0.0,no_click
171961,173,0.0,1.0,0.0,0.0,0.578,0.0,no_click
